State,Population,Hydroelectric,Biomass,Geothermal,Solar,Wind,Total Renewable Energy
Alabama,4887681,101.4,193.4,0.1,3.4,0,298.4
Alaska,735139,15.2,8.2,0.2,0,1.4,25
Arizona,7158024,63.6,38.9,0.3,70.8,4.8,178.5
Arkansas,3009733,27.4,93.5,0.8,2.1,0,123.8
California,39461588,239.7,296.9,108.4,381.7,127.7,1154.5
Colorado,5691287,16.6,43.2,0.8,15.3,88.7,164.6
Connecticut,3571520,5.1,38.7,0,6.5,0.1,50.4
DC,701547,0,2,0,0.7,0,2.7
Delaware,965479,0,6.1,0.4,1.5,0,8
Florida,21244317,2.1,251.8,10.1,53.5,0,317.5
Georgia,10511131,33.7,247.5,0.3,21,0,302.4
Hawaii,1420593,0.9,10.7,1,13.1,5.5,31.1
Idaho,1750536,100.4,46.7,2.3,5.4,24.2,178.9
Illinois,12723071,1.3,170.3,2,2.7,108.3,284.7
Indiana,6695497,2,126,4.6,3.7,49.5,185.9
Iowa,3148618,8.4,258.1,1.3,1.3,194.2,463.4
Kansas,2911359,0.2,46.6,1,0.3,172.1,220.3
Kentucky,4461153,40.2,58.4,2.7,0.7,0,102.1
Louisiana,4659690,10.7,140.2,1.8,2.2,0,155
Maine,1339057,29.7,108.2,0.1,0.8,21.7,160.4
Maryland,6035802,25.8,47.4,0.6,11.5,5.2,90.4
Massachusetts,6882635,10.3,63.8,0.9,28.2,2,105.2
Michigan,9984072,14.3,179,5.2,2.3,49.7,250.4
Minnesota,5606249,9.6,183.5,1.1,10.4,97.5,302.2
Mississippi,2981020,0,72.8,1,3.1,0,76.8
Missouri,6121623,7.5,71.8,0.4,3,25.8,108.5
Montana,1060665,103.8,22.8,0.3,0.5,19.6,147.1
Nebraska,1925614,12.6,128.8,1.2,0.4,50.5,193.5
Nevada,3027341,17.1,15.7,33.1,48.6,2.8,117.3
New Hampshire,1353465,12.3,45,0,1.1,3.7,62.1
New Jersey,8886025,0.3,57.7,0.5,28.2,0.2,86.9
New Mexico,2092741,1.4,23.1,0.5,14.8,55.5,95.2
New York,19530351,269.8,165.2,1.2,17.7,36.4,490.3
North Carolina,10381615,60.1,149.3,1,57.8,4.9,273.2
North Dakota,758080,29,32.9,1,0,97.7,160.5
Ohio,11676341,2.2,134.2,3.4,2.8,15.9,158.6
Oklahoma,3940235,18.5,49.8,0,0.7,248.9,317.9
Oregon,4181886,322.7,95,2.8,8.5,67.8,496.8
Pennsylvania,12800922,38.8,172.6,2.2,5.1,32.5,251.2
Rhode Island,1058287,0,7.3,0.1,1.2,1.4,10
South Carolina,5084156,27.4,128.5,0.6,6.9,0,163.5
South Dakota,878698,57,64.8,1.9,0,25.8,149.5
Tennessee,6771631,93.7,109.3,0.2,2.4,0.4,206
Texas,28628666,10.3,270.8,2.5,36.3,689.2,"1,009.00"
Utah,3153550,8.4,16.9,4.9,23.9,7.2,61.3
Vermont,624358,11.5,27,0,2.3,3.4,44.2
Virginia,8501286,16.1,155.5,1.7,8.2,0,181.5
Washington,7523869,736.4,145.9,1.1,1.5,71.9,956.8
West Virginia,1804291,16.8,20.6,0,0.1,16.1,53.7
Wisconsin,5807406,21.8,161,0.6,1.3,14.9,199.6
Wyoming,577601,8.9,8.4,0.7,0.1,36.9,54.9
