State,mean elevation feet,mean elevation meters
Alabama,500,153
Alaska,"1,900",580
Arizona,"4,100","1,251"
Arkansas,650,198
California,"2,900",885
Colorado,"6,800","2,074"
Connecticut,500,153
Delaware ,60,18
District of Columbia,150,46
Florida,100,31
Georgia,600,183
Hawaii,"3,030",924
Idaho,"5,000","1,525"
Illinois,600,183
Indiana,700,214
Iowa,"1,100",336
Kansas,"2,000",610
Kentucky,750,229
Louisiana,100,31
Maine,600,183
Maryland,350,107
Massachusetts,500,153
Michigan,900,275
Minnesota,"1,200",366
Mississippi,300,92
Missouri,800,244
Montana,"3,400","1,037"
Nebraska,"2,600",793
Nevada,"5,500","1,678"
New Hampshire,"1,000",305
New Jersey,250,76
New Mexico,"5,700","1,739"
New York,"1,000",305
North Carolina,700,214
North Dakota,"1,900",580
Ohio,850,259
Oklahoma,"1,300",397
Oregon,"3,300","1,007"
Pennsylvania,"1,100",336
Rhode Island,200,61
South Carolina,350,107
South Dakota,"2,200",671
Tennessee,900,275
Texas,"1,700",519
Utah,"6,100","1,861"
Vermont,"1,000",305
Virginia,950,290
Washington,"1,700",519
West Virginia,"1,500",458
Wisconsin,"1,050",320
Wyoming,"6,700","2,044"
